Generation,Strategy,Approach,MeanDelay,GreenTime,MaxDelay,Throughput
0,Fixed,west,3.223709589916847,30,23.65331930962745,0
0,Fixed,south,3.397018745058565,30,10.078584608165363,0
0,Fixed,north,2.8187865223172213,30,5.442425596028551,0
0,Fixed,east,3.0821563385740625,30,10.547801919877864,0
1,EGT,west,3.228313415286299,30,23.69139972823197,0
1,EGT,south,3.3922389864446623,32,9.745760627451352,0
1,EGT,north,2.820361593130025,30,5.828499701173164,0
1,EGT,east,3.0705933496582616,30,10.556574804280567,0
2,EGT,west,3.228313415286299,30,23.69139972823197,0
2,EGT,south,3.3922389864446623,32,9.745760627451352,0
2,EGT,north,2.820361593130025,30,5.828499701173164,0
2,EGT,east,3.0705933496582616,30,10.556574804280567,0
3,EGT,west,3.228313415286299,30,23.69139972823197,0
3,EGT,south,3.3922389864446623,32,9.745760627451352,0
3,EGT,north,2.820361593130025,30,5.828499701173164,0
3,EGT,east,3.0705933496582616,30,10.556574804280567,0
4,EGT,west,3.228313415286299,30,23.69139972823197,0
4,EGT,south,3.3922389864446623,32,9.745760627451352,0
4,EGT,north,2.820361593130025,30,5.828499701173164,0
4,EGT,east,3.0705933496582616,30,10.556574804280567,0
5,EGT,west,3.2782173446117513,30,24.621878169466505,0
5,EGT,south,3.395427638407554,32,10.932139521591926,0
5,EGT,north,2.8253963397103026,32,5.241913886657738,0
5,EGT,east,3.0632349140072246,30,11.423927082271733,0
